mes,uf,de_type,freight_id,vehicle,price,price_por_dia,contract_days,encontrou_motorista,qt_atividades_falcon,qt_horas_falcon
2025-01-01,SP,Ajudante,137142,,150,150.0,1,nao,24.0,216.0
2025-02-01,SP,Ajudante,137144,,150,150.0,1,nao,131.0,26192.0
2025-01-01,SP,Diária,137147,Carreta,4464,372.0,12,sim,4.0,2.0
2025-01-01,SP,Diária,137150,Carreta,4092,372.0,11,sim,5.0,2.0
2025-01-01,PR,Diária,137157,Bitrenzão,3000,375.0,8,sim,26.0,13.0
2025-01-01,MG,Diária,137165,Truck,1560,260.0,6,sim,18.0,6.0
2025-01-01,SP,Ajudante,137171,,300,150.0,2,nao,18.0,21.0
2025-01-01,SP,Coleta/Entrega,137174,Manobrista,1325,265.0,5,nao,15.0,4274.0
2025-01-01,SC,Diária,137175,Carreta,3355,305.0,11,sim,7.0,20.0
2025-01-01,SP,Diária,137179,Carreta,10980,305.0,36,sim,3.0,1.0
2025-01-01,GO,Coleta/Entrega,137186,Truck,260,260.0,1,nao,7.0,2.0
2025-01-01,SP,Ajudante,137190,,420,84.0,5,nao,19.0,1396.0
2025-01-01,SP,Ajudante,137191,,420,140.0,3,nao,4.0,1.0
2025-01-01,SP,Ajudante,137192,,1650,150.0,11,sim,4.0,1.0
2025-01-01,SP,Ajudante,137193,,420,140.0,3,sim,3.0,1.0
2025-01-01,SP,Ajudante,137194,,1650,150.0,11,sim,3.0,1.0
2025-01-01,SP,Ajudante,137196,,450,150.0,3,sim,6.0,2.0
2025-01-01,SC,Diária,137223,Truck,3770,251.33333333333334,15,sim,3.0,1.0
2025-01-01,MG,Coleta/Entrega,137227,Utilitários,2720,160.0,17,nao,4.0,4.0
2025-01-01,SC,Coleta/Entrega,137234,3/4,880,220.0,4,nao,24.0,5548.0
2025-01-01,SP,Ajudante,137239,,450,150.0,3,sim,10.0,6.0
2025-01-01,SP,Coleta/Entrega,137259,Carreta,3355,305.0,11,sim,7.0,3.0
2025-01-01,MG,Diária,137265,Truck,672,336.0,2,sim,7.0,3.0
2025-01-01,SP,Diária,137268,Truck,520,260.0,2,sim,9.0,20.0
2025-01-01,SP,Diária,137269,Vanderleia,1830,305.0,6,sim,7.0,2.0
2025-01-01,RJ,Coleta/Entrega,137281,Toco,238,238.0,1,sim,12.0,1.0
2025-01-01,SP,Ajudante,137285,,150,150.0,1,sim,7.0,2.0
2025-01-01,SP,Ajudante,137287,,150,150.0,1,sim,7.0,4.0
2025-01-01,SP,Coleta/Entrega,137289,Truck,260,260.0,1,sim,6.0,1.0
2025-01-01,PB,Coleta/Entrega,137295,Utilitários,192,192.0,1,sim,1.0,1.0
2025-01-01,SP,Diária,137300,Carreta,4270,305.0,14,sim,15.0,11.0
2025-01-01,PB,Ajudante,137303,,450,150.0,3,sim,11.0,3.0
2025-01-01,PB,Ajudante,137304,,300,75.0,4,nao,12.0,8.0
2025-01-01,SP,Coleta/Entrega,137316,Truck,780,260.0,3,sim,12.0,2.0
2025-01-01,SP,Coleta/Entrega,137317,Truck,260,260.0,1,sim,4.0,1.0
2025-01-01,SP,Ajudante,137318,,240,120.0,2,sim,8.0,21.0
2025-01-01,MG,Ajudante,137322,,150,150.0,1,sim,6.0,2.0
2025-02-01,MG,Ajudante,137325,,150,150.0,1,sim,38.0,8640.0
2025-01-01,SP,Coleta/Entrega,137326,Truck,260,260.0,1,sim,6.0,1.0
2025-01-01,MG,Coleta/Entrega,137329,Bi-Truck,1890,270.0,7,sim,10.0,2.0
2025-01-01,SP,Diária,137346,Truck,7280,260.0,28,sim,3.0,1.0
2025-01-01,SP,Ajudante,137352,,300,150.0,2,nao,8.0,2.0
2025-01-01,SP,Ajudante,137383,,150,150.0,1,sim,7.0,34.0
2025-01-01,SP,Ajudante,137384,,300,150.0,2,nao,18.0,5584.0
2025-01-01,SP,Diária,137391,Carreta,1525,305.0,5,sim,5.0,1.0
2025-01-01,SP,Diária,137392,Carreta,152,152.0,1,sim,4.0,3.0
2025-01-01,SC,Ajudante,137393,,1000,111.11111111111111,9,nao,10.0,3.0
2025-01-01,SP,Ajudante,137400,,160,160.0,1,nao,1.0,1.0
2025-01-01,GO,Diária,137407,Bi-Truck,540,270.0,2,nao,6.0,2.0
2025-01-01,PR,Coleta/Entrega,137408,Carreta,975,325.0,3,nao,9.0,5.0
2025-01-01,SP,Coleta/Entrega,137419,3/4,225,225.0,1,sim,10.0,2.0
2025-01-01,SC,Coleta/Entrega,137429,3/4,220,220.0,1,nao,8.0,1.0
2025-01-01,MT,Ajudante,137431,,150,150.0,1,nao,8.0,186.0
2025-01-01,SP,Coleta/Entrega,137433,Truck,520,260.0,2,nao,14.0,337.0
2025-01-01,SP,Coleta/Entrega,137434,Truck,520,260.0,2,sim,3.0,1.0
2025-01-01,SP,Coleta/Entrega,137436,3/4,1620,270.0,6,sim,12.0,2.0
2025-01-01,SC,Diária,137437,Bi-Truck,1425,285.0,5,nao,9.0,204.0
2025-01-01,SP,Ajudante,137438,,170,170.0,1,nao,5.0,221.0
2025-01-01,ES,Coleta/Entrega,137445,Toco,460,230.0,2,sim,12.0,2.0
2025-01-01,RJ,Coleta/Entrega,137447,3/4,225,225.0,1,sim,20.0,1375.0
2025-01-01,ES,Coleta/Entrega,137448,3/4,220,220.0,1,sim,12.0,26.0
2025-01-01,SP,Coleta/Entrega,137449,Utilitários,160,160.0,1,sim,9.0,2.0
2025-01-01,RS,Diária,137450,Carreta,9760,305.0,32,sim,8.0,1.0
2025-01-01,MT,Ajudante,137453,,150,150.0,1,nao,9.0,4.0
2025-01-01,SP,Coleta/Entrega,137460,Toco,245,245.0,1,nao,9.0,1.0
2025-01-01,PR,Coleta/Entrega,137466,Vanderleia,7015,305.0,23,sim,7.0,1.0
2025-01-01,RJ,Coleta/Entrega,137468,Truck,520,260.0,2,sim,21.0,68.0
2025-01-01,RJ,Coleta/Entrega,137469,Truck,260,260.0,1,sim,8.0,2.0
2025-01-01,RJ,Ajudante,137473,,400,200.0,2,sim,7.0,74.0
2025-01-01,RJ,Ajudante,137475,,400,200.0,2,sim,11.0,4.0
2025-01-01,PR,Diária,137476,Carreta,6270,330.0,19,sim,1.0,1.0
2025-01-01,SP,Diária,137477,Truck,2100,262.5,8,sim,5.0,1.0
2025-01-01,SP,Coleta/Entrega,137479,Truck,1719,214.875,8,sim,2.0,1.0
2025-01-01,MS,Coleta/Entrega,137488,Toco,230,230.0,1,sim,3.0,1.0
2025-01-01,MS,Coleta/Entrega,137490,Toco,1150,164.28571428571428,7,sim,4.0,1.0
2025-01-01,RS,Coleta/Entrega,137502,Truck,7280,260.0,28,sim,12.0,2.0
2025-01-01,RS,Coleta/Entrega,137506,Truck,10140,260.0,39,nao,9.0,1.0
2025-01-01,GO,Coleta/Entrega,137510,Toco,235,235.0,1,nao,11.0,2.0
2025-01-01,SP,Coleta/Entrega,137511,Bi-Truck,280,280.0,1,sim,12.0,2.0
2025-01-01,SP,Coleta/Entrega,137516,Toco,230,230.0,1,nao,6.0,149.0
2025-01-01,SP,Coleta/Entrega,137536,Utilitários,164,164.0,1,nao,13.0,2.0
2025-01-01,SP,Coleta/Entrega,137541,3/4,1100,220.0,5,sim,1.0,1.0
2025-01-01,MG,Coleta/Entrega,137547,Bi-Truck,1383,276.6,5,sim,24.0,51.0
2025-01-01,SP,Coleta/Entrega,137554,Carreta,610,305.0,2,nao,12.0,2.0
2025-01-01,SP,Ajudante,137557,,120,120.0,1,nao,4.0,804.0
2025-01-01,SP,Diária,137589,Carreta,1525,305.0,5,sim,1.0,1.0
2025-01-01,SC,Diária,137600,Carreta,610,305.0,2,sim,8.0,3.0
2025-01-01,SP,Coleta/Entrega,137602,Manobrista,795,265.0,3,nao,30.0,5959.0
2025-01-01,SP,Coleta/Entrega,137603,Manobrista,2650,265.0,10,sim,9.0,4.0
2025-01-01,RJ,Ajudante,137610,,250,250.0,1,nao,5.0,1.0
2025-01-01,SP,Ajudante,137611,,300,150.0,2,sim,3.0,1.0
2025-01-01,MG,Coleta/Entrega,137612,Utilitários,2080,138.66666666666666,15,nao,21.0,261.0
2025-01-01,SP,Coleta/Entrega,137615,Toco,240,240.0,1,nao,3.0,1.0
2025-01-01,SP,Coleta/Entrega,137616,Truck,1350,270.0,5,sim,9.0,2.0
2025-01-01,RJ,Diária,137619,Carreta,6930,330.0,21,sim,6.0,4.0
2025-01-01,SP,Diária,137623,Carreta,372,372.0,1,sim,8.0,3.0
2025-01-01,DF,Ajudante,137634,,172,172.0,1,sim,8.0,17.0
2025-01-01,MS,Ajudante,137636,,300,150.0,2,sim,18.0,2568.0
2025-01-01,MS,Ajudante,137637,,900,150.0,6,nao,17.0,6.0
2025-01-01,SP,Diária,137639,Carreta,6100,305.0,20,sim,7.0,3.0
2025-01-01,SP,Diária,137643,Carreta,372,372.0,1,sim,12.0,2.0
2025-01-01,SP,Diária,137657,Truck,2040,340.0,6,sim,5.0,1.0
